AltQuantity,CIFValue,FOBValue,GrossWeight,IsLeaf,NetWeight,TradeQuantity,TradeValue,aggrLevel,cmdCode,cmdDescE,cstCode,cstDesc,estCode,motCode,motDesc,period,periodDesc,pfCode,pt3ISO,pt3ISO2,ptCode,ptCode2,ptTitle,ptTitle2,qtAltCode,qtAltDesc,qtCode,qtDesc,rgCode,rgDesc,rt3ISO,rtCode,rtTitle,yr
,,,,0,86.0,,7518,4,8542,Electronic integrated circuits,,,0,,,2015,2015,H4,ASM,,16,,b'American Samoa',,,,1,No Quantity,1,Import,AUS,36,b'Australia',2015
,,,,0,5.0,,1749,4,8542,Electronic integrated circuits,,,0,,,2015,2015,H4,ASM,,16,,b'American Samoa',,,,1,No Quantity,2,Export,AUS,36,b'Australia',2015
,,,,0,0.0,0.0,7,4,8542,Electronic integrated circuits,,,6,,,2015,2015,H4,ALB,,8,,b'Albania',,,,1,No Quantity,1,Import,AUT,40,b'Austria',2015
,,,,0,6.0,0.0,1022,4,8542,Electronic integrated circuits,,,6,,,2015,2015,H4,ALB,,8,,b'Albania',,,,1,No Quantity,2,Export,AUT,40,b'Austria',2015
,,,,0,45.0,0.0,16915,4,8542,Electronic integrated circuits,,,6,,,2015,2015,H4,DZA,,12,,b'Algeria',,,,1,No Quantity,2,Export,AUT,40,b'Austria',2015
,,,,0,36.0,,3591,4,8542,Electronic integrated circuits,,,4,,,2015,2015,H4,ALB,,8,,b'Albania',,,,1,No Quantity,2,Export,BEL,56,b'Belgium',2015
,,,,0,94.0,,68614,4,8542,Electronic integrated circuits,,,4,,,2015,2015,H4,DZA,,12,,b'Algeria',,,,1,No Quantity,2,Export,BEL,56,b'Belgium',2015
,,,,0,1.0,,729,4,8542,Electronic integrated circuits,,,4,,,2015,2015,H4,ALB,,8,,b'Albania',,,,1,No Quantity,1,Import,BRA,76,b'Brazil',2015
,,,,0,30.0,,577,4,8542,Electronic integrated circuits,,,0,,,2015,2015,H4,AFG,,4,,b'Afghanistan',,,,1,No Quantity,2,Export,BGR,100,b'Bulgaria',2015
,,,,0,87.0,,17297,4,8542,Electronic integrated circuits,,,0,,,2015,2015,H4,ALB,,8,,b'Albania',,,,1,No Quantity,2,Export,BGR,100,b'Bulgaria',2015
,,,,0,,0.0,2771,4,8542,Electronic integrated circuits,,,0,,,2015,2015,H4,ALB,,8,,b'Albania',,,,1,No Quantity,1,Import,CAN,124,b'Canada',2015
,,,,0,,12.0,3705,4,8542,Electronic integrated circuits,,,4,,,2015,2015,H4,ALB,,8,,b'Albania',,,,5,Number of items,2,Export,CAN,124,b'Canada',2015
,,,,0,0.0,0.0,16789,4,8542,Electronic integrated circuits,,,4,,,2015,2015,H4,DZA,,12,,b'Algeria',,,,1,No Quantity,2,Export,CAN,124,b'Canada',2015
