pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
H5,2017,2017,2017,6,1,1,Import,40,b'Austria',AUT,8,b'Albania',ALB,,,,,,,,392620,"Plastics; articles of apparel and clothing accessories (including gloves, mittens and mitts)",8,Weight in kilograms,,,961,,961.0,,10460,,,0
H5,2017,2017,2017,6,1,1,Import,68,b'Bolivia (Plurinational State of)',BOL,4,b'Afghanistan',AFG,,,,,,,,392620,"Plastics; articles of apparel and clothing accessories (including gloves, mittens and mitts)",8,Weight in kilograms,,,1477,,1477.0,,3834,,,0
H5,2017,2017,2017,6,1,1,Import,124,b'Canada',CAN,4,b'Afghanistan',AFG,,,,,,,,392620,"Plastics; articles of apparel and clothing accessories (including gloves, mittens and mitts)",1,No Quantity,,,0,,,,463,,,0
H5,2017,2017,2017,6,1,1,Import,144,b'Sri Lanka',LKA,20,b'Andorra',AND,,,,,,,,392620,"Plastics; articles of apparel and clothing accessories (including gloves, mittens and mitts)",8,Weight in kilograms,,,18,,18.0,,59,,,0
H5,2017,2017,2017,6,1,1,Import,222,b'El Salvador',SLV,20,b'Andorra',AND,,,,,,,,392620,"Plastics; articles of apparel and clothing accessories (including gloves, mittens and mitts)",8,Weight in kilograms,,,16,,16.0,,551,,,0
H5,2017,2017,2017,6,1,1,Import,251,b'France',FRA,8,b'Albania',ALB,,,,,,,,392620,"Plastics; articles of apparel and clothing accessories (including gloves, mittens and mitts)",8,Weight in kilograms,,,1953,,1953.0,,9130,,,0
H5,2017,2017,2017,6,1,1,Import,381,b'Italy',ITA,8,b'Albania',ALB,,,,,,,,392620,"Plastics; articles of apparel and clothing accessories (including gloves, mittens and mitts)",8,Weight in kilograms,,,26,,26.0,,1205,,,0
H5,2017,2017,2017,6,1,1,Import,410,b'Rep. of Korea',KOR,8,b'Albania',ALB,,,,,,,,392620,"Plastics; articles of apparel and clothing accessories (including gloves, mittens and mitts)",8,Weight in kilograms,,,72,,72.0,,1605,,,0
H5,2017,2017,2017,6,1,1,Import,620,b'Portugal',PRT,8,b'Albania',ALB,,,,,,,,392620,"Plastics; articles of apparel and clothing accessories (including gloves, mittens and mitts)",8,Weight in kilograms,,,1,,1.0,,12,,,0
H5,2017,2017,2017,6,1,1,Import,620,b'Portugal',PRT,20,b'Andorra',AND,,,,,,,,392620,"Plastics; articles of apparel and clothing accessories (including gloves, mittens and mitts)",8,Weight in kilograms,,,1,,1.0,,10,,,6
