Country Name,Country Code,gdp
Afghanistan,AFG,556.3021385
Albania,ALB,4532.889198
Algeria,DZA,4048.285258
American Samoa,ASM,11398.77742
Andorra,AND,39134.39337
Angola,AGO,4095.812942
Antigua and Barbuda,ATG,15824.66781
Argentina,ARG,14591.86338
Armenia,ARM,3914.501268
Aruba,ABW,25630.26649
Australia,AUS,54093.60219
Austria,AUT,47380.82964
Azerbaijan,AZE,4147.089716
"Bahamas, The",BHS,31857.89015
Bahrain,BHR,23715.48275
Bangladesh,BGD,1563.994082
Barbados,BRB,16327.60723
Belarus,BLR,5761.74712
Belgium,BEL,43507.2382
Belize,BLZ,4956.808039
Benin,BEN,827.4298101
Bermuda,BMU,0
Bhutan,BTN,3390.714075
Bolivia,BOL,3351.124053
Bosnia and Herzegovina,BIH,5394.59122
Botswana,BWA,7893.675933
Brazil,BRA,9880.946543
British Virgin Islands,VGB,0
Brunei Darussalam,BRN,28572.10942
Bulgaria,BGR,8228.01157
Burkina Faso,BFA,642.0404265
Burundi,BDI,293.009062
Cabo Verde,CPV,3295.341106
Cambodia,KHM,1385.25998
Cameroon,CMR,1421.587492
Canada,CAN,45069.92725
Cayman Islands,CYM,56334.21399
Central African Republic,CAF,471.6032278
Chad,TCD,664.3033157
Channel Islands,CHI,0
Chile,CHL,15037.35011
China,CHN,8759.041578
Colombia,COL,6375.932063
Comoros,COM,1312.366174
"Congo, Dem. Rep.",COD,467.0742375
"Congo, Rep.",COG,1702.571349
Costa Rica,CRI,11752.5436
Cote d'Ivoire,CIV,1557.182948
Croatia,HRV,13383.6835
Cuba,CUB,8541.210673
Curacao,CUW,19457.53152
Cyprus,CYP,25760.7627
Czech Republic,CZE,20379.89604
Denmark,DNK,57218.85485
Djibouti,DJI,1953.903502
Dominica,DMA,6951.303542
Dominican Republic,DOM,7222.554044
Ecuador,ECU,6213.501276
"Egypt, Arab Rep.",EGY,2440.510173
El Salvador,SLV,3902.237622
Equatorial Guinea,GNQ,9738.434224
Eritrea,ERI,0
Estonia,EST,20200.37559
Ethiopia,ETH,768.0104163
Faroe Islands,FRO,0
Fiji,FJI,6006.360622
Finland,FIN,45809.97338
France,FRA,38679.12715
French Polynesia,PYF,0
Gabon,GAB,7212.535744
"Gambia, The",GMB,672.7805341
Georgia,GEO,4045.41705
Germany,DEU,44681.08258
Ghana,GHA,2025.885857
Gibraltar,GIB,0
Greece,GRC,18883.46007
Greenland,GRL,0
Grenada,GRD,10163.62985
Guam,GUM,35664.50168
Guatemala,GTM,4470.610798
Guinea,GIN,821.6514609
Guinea-Bissau,GNB,736.7255662
Guyana,GUY,4586.054572
Haiti,HTI,765.6139847
Honduras,HND,2432.935364
"Hong Kong SAR, China",HKG,46220.50455
Hungary,HUN,14278.8745
Iceland,ISL,71314.7742
India,IND,1981.499045
Indonesia,IDN,3836.913814
"Iran, Islamic Rep.",IRN,5627.749268
Iraq,IRQ,5143.661232
Ireland,IRL,69649.88274
Isle of Man,IMN,0
Israel,ISR,40543.58417
Italy,ITA,32155.20587
Jamaica,JAM,5060.544924
Japan,JPN,38331.9794
Jordan,JOR,4168.641604
Kazakhstan,KAZ,9030.318806
Kenya,KEN,1568.201541
Kiribati,KIR,1625.57597
"Korea, Dem. People’s Rep.",PRK,0
"Korea, Rep.",KOR,29742.83886
Kosovo,XKX,3948.08815
Kuwait,KWT,29474.54143
Kyrgyz Republic,KGZ,1242.769643
Lao PDR,LAO,2423.846203
Latvia,LVA,15684.55852
Lebanon,LBN,7838.343385
Lesotho,LSO,1232.786919
Liberia,LBR,698.7017644
Libya,LBY,5792.06511
Liechtenstein,LIE,0
Lithuania,LTU,16809.64826
Luxembourg,LUX,104498.7387
"Macao SAR, China",MAC,81208.88207
North Macedonia,MKD,5417.642019
Madagascar,MDG,448.4007965
Malawi,MWI,356.7175732
Malaysia,MYS,10117.56903
Maldives,MDV,9801.624542
Mali,MLI,828.6132202
Malta,MLT,27241.09064
Marshall Islands,MHL,3516.71432
Mauritania,MRT,1161.785457
Mauritius,MUS,10484.90836
Mexico,MEX,9281.101483
"Micronesia, Fed. Sts.",FSM,3018.396899
Moldova,MDA,2724.493093
Monaco,MCO,166726.0519
Mongolia,MNG,3671.948419
