Country Code,cascade size
NOR,99.45
KEN,101.0
FRA,62.12
HUN,39.98
BHR,101.0
CAN,65.85
JAM,0.0
NIC,0.0
ECU,0.0
MEX,37.04
DEU,64.55
SVN,46.74
LBN,0.0
UZB,101.0
HND,101.0
PRT,39.61
SVK,52.28
CZE,54.69
ROU,87.05
MLT,92.03
FIN,48.56
GBR,71.78
ISL,0.0
LVA,67.98
CYP,0.0
MYS,42.68
PHL,46.73
ZAF,101.0
PRY,0.0
PER,0.0
GUY,0.0
BIH,101.0
CHE,81.73
ZMB,0.0
URY,0.0
COL,2.0
RUS,101.0
ZWE,0.0
BGR,83.71
CHN,46.73
IND,32.6
NAM,0.0
AUT,51.41
JPN,43.49
GRC,101.0
SGP,52.4
PAK,0.0
KOR,52.4
SWZ,0.0
CHL,3.0
LSO,0.0
LTU,69.08
VNM,35.39
LCA,0.0
ARE,91.27
NLD,65.0
MDA,0.0
GTM,0.0
BRA,101.0
TUR,101.0
LKA,100.25
MNG,101.0
USA,71.03
MAR,91.76
BRN,0.0
AZE,101.0
MKD,101.0
BRB,0.0
UKR,100.93
LUX,101.0
HRV,55.4
SEN,0.0
BWA,0.0
NZL,98.25
CIV,0.0
SRB,101.0
ITA,64.12
MDG,0.0
MNE,0.0
SAU,0.0
CRI,43.9
BEL,70.4
KAZ,0.0
IRL,63.5
EST,86.49
HKG,40.25
DOM,0.0
TZA,101.0
IDN,67.74
BOL,0.0
AUS,70.26
GEO,101.0
DZA,0.0
EGY,0.0
SWE,88.67
SLV,1.0
ISR,76.74
DNK,43.4
TUN,101.0
BLR,28.8
ESP,64.3
MWI,0.0
ARG,3.0
AND,0.0
POL,54.0
