,NOR,KEN,FRA,HUN,BHR,CAN,JAM,NIC,ECU,MEX,DEU,SVN,LBN,UZB,HND,PRT,SVK,CZE,ROU,MLT,FIN,GBR,ISL,LVA,CYP,MYS,PHL,ZAF,PRY,PER,GUY,BIH,CHE,ZMB,URY,COL,RUS,ZWE,BGR,CHN,IND,NAM,AUT,JPN,GRC,SGP,PAK,KOR,SWZ,CHL,LSO,LTU,VNM,LCA,ARE,NLD,MDA,GTM,BRA,TUR,LKA,MNG,USA,MAR,BRN,AZE,MKD,BRB,UKR,LUX,HRV,SEN,BWA,NZL,CIV,SRB,ITA,MDG,MNE,SAU,CRI,BEL,KAZ,IRL,EST,HKG,DOM,TZA,IDN,BOL,AUS,GEO,DZA,EGY,SWE,SLV,ISR,DNK,TUN,BLR,ESP,MWI,ARG,AND,POL
NOR,0.0005268432697058717,3.537953277489447e-07,0.0025807602771920775,0.018274623643233227,0.0,0.008858311002128244,0.0,0.0,0.0,0.024589379672184802,0.002090244189798505,0.0003542683992937963,0.0,7.579241569697089e-08,7.43641686335495e-05,0.000778270947599539,0.023798284689050857,0.0034277739707205216,0.016484715734553484,0.000268880811855408,0.011458650322768684,0.0013495006861730442,0.0,0.002651237049626129,0.0,0.045614308502178014,0.006129893940152489,0.0007333967361005256,0.0,0.0,0.0,2.149017824513019e-05,0.0029171877442849886,0.0,0.0,0.0024022644209536147,0.017184191171544475,0.0,0.0008849317669645179,0.0672881950901803,0.017434422402269927,0.0,0.002983237640071827,0.0004886201198835451,0.0018743879244856145,0.0048406792130232515,0.0,0.0003414174010905253,0.0,0.0037760702597581753,0.0,0.004448594997228817,0.0005086068577247187,0.0,0.00775582783967864,0.006355029100785003,0.0,0.0,0.013829400002235547,0.0067761990929761295,0.00017413622719752392,0.0,0.003775633554837618,0.0010920012255052436,0.0,0.0,0.0002614713792153982,0.0,0.005363659562035348,1.2681150611846999e-05,0.0003739700535495906,0.0,0.0,0.0013875883573846828,0.0,0.00042795897884323524,0.003731363289294688,0.0,0.0,0.0,0.0005553810000309164,0.0002604477850166182,0.0,0.0018377047994209183,0.020563776151691825,0.03360180859247395,0.0,0.0,0.000880543331676983,0.0,0.0022331263214628275,6.812616707894394e-06,0.0,0.0,0.11379194496932747,1.3753273821299997e-05,0.00017175435249200462,0.001870397194766571,0.0001385569828663611,0.00039823503316070095,0.003995405361878049,0.0,0.0012149937938354567,0.0,0.0350188872544889
KEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FRA,0.0001552666171707064,0.0,0.0,0.02614821472216362,0.0,0.003428328838982386,0.0,0.0,0.0,0.013634774989528042,0.15083915171643636,0.0,0.0,0.0,0.0,0.010557876091687735,0.002941405590408176,0.003014864575611006,0.014501834403769074,0.0,0.0019039562304223696,0.0,0.0,5.914339134693864e-05,0.0,0.0,0.0,0.0009192126292295926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012234263338650771,0.002179441520018883,0.0,0.002400499313478962,0.0,0.0011007760742015938,0.0,0.0012304367282475377,0.00029490240048815603,7.701160434485366e-05,0.011534222802293239,0.0,0.006198467629585417,0.0,7.452026709291931e-05,0.0,0.0009370725413314414,0.0001527007362283205,0.0,0.000953448976463099,0.0540660213713695,0.0,0.0,0.006043232407882709,0.0011300703473535747,0.00011156757717044204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2241141482844628e-05,0.00014943453909415424,7.952702241408801e-05,0.0,0.0,0.00022497943263512793,0.0,0.0002462982705966711,0.0336786945973548,0.0,0.0,0.0,0.0,0.0010976357876889026,0.0,0.0038180187607114403,0.0005475054071145092,0.0,0.0,0.0,0.0,0.0,0.00038694643448571373,2.301435762331896e-05,0.0,0.0,0.00639447118185401,0.0,0.0,0.0,0.01804798944899431,3.243349123250454e-06,0.004524075063290587,0.0,0.0,0.0,0.017917179408498053
HUN,1.570770680857251e-06,2.533205040277257e-10,3.7730099612346494e-07,0.0,0.0,0.030757589850159025,0.0,0.0,0.0,0.03620864579002297,1.0281134222186963e-07,0.008338970696519914,0.0,0.0,4.298221477028339e-07,2.014038824340192e-07,3.7000652886931995e-05,8.351679447533043e-07,0.1355783949652899,0.0,2.0703998082457006e-05,1.9823300624714837e-09,0.0,0.0001822947227727355,0.0,3.355894584677721e-07,0.0,0.00013438514785188486,0.0,0.0,0.0,2.0131108167016392e-07,2.7877984538998734e-06,0.0,0.0,1.388008872950586e-06,0.0018510009466240326,0.0,0.012678003615518097,3.9830374930348185e-05,2.6631331942191168e-05,0.0,1.8048604057149247e-06,2.1828001648690417e-06,1.2179549686618173e-05,3.733304233085695e-06,0.0,1.0719959024844743e-06,0.0,2.950220576985254e-07,0.0,6.3949119505358e-06,0.001122286143763237,0.0,8.742441432549445e-05,9.396854970043079e-06,0.0,0.0,5.7531455825050524e-05,0.005734418884440983,0.002801553969060961,0.0,2.220511785440397e-06,0.0,0.0,0.0,0.002433078245072451,0.0,0.12555603311054606,3.4002317950513646e-08,0.00045021585693001855,0.0,0.0,3.853230449901341e-08,0.0,0.0026207728019857802,3.61117912584206e-06,0.0,0.0,0.0,4.657551313023864e-05,4.122720858919254e-07,0.0,8.008220367179234e-08,0.002355072103369584,0.000333926446408788,0.0,0.0,0.0015007689702537259,0.0,2.0736003396630214e-06,1.399069127892037e-08,0.0,0.0,2.3711078007098274e-07,9.279912948062156e-08,1.829660269520148e-09,4.989125972925212e-06,2.111215035195316e-06,6.145587982910609e-08,2.4811408521225214e-06,0.0,8.538964201601402e-07,0.0,0.02987764916374639
BHR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAN,0.00010256425514167831,1.0385490163072077e-07,0.0014070640261032111,0.001313237066305048,0.0,7.139770737259813e-08,0.0,0.0,0.0,0.10977303868074101,4.837407787482945e-05,0.00019955027507245854,0.0,4.148942747844434e-09,0.00010748330112004063,0.00013451425577354765,0.0018566856386925765,0.005913067068822894,0.0032872525419231947,7.779540470818615e-07,0.00045945234112975005,0.0011803549036793536,0.0,0.0001888018008722483,0.0,0.00021759692743532043,4.656178086038291e-05,0.00033065924291742204,0.0,0.0,0.0,2.1733179858727323e-08,0.000161279353930457,0.0,0.0,0.00038565936838396553,0.019753800170927562,0.0,9.794069487193129e-05,0.18960424861869535,0.010396183261063065,0.0,0.0032856379107825424,4.343599229555516e-05,0.00016857418096617605,0.01571571562390419,0.0,8.291990947124074e-09,0.0,0.0005788718198619975,0.0,0.00027115976305660535,7.41573967220807e-05,0.0,0.0031170654752371045,0.026685247521646298,0.0,0.0,0.015585632459570476,0.0041022602824240285,8.932215261361118e-06,0.0,5.396169636629244e-05,5.8246854558678985e-05,0.0,0.0,1.5250715953567693e-05,0.0,0.0007633241067303965,1.744276395349207e-05,6.576286151441364e-05,0.0,0.0,0.0006774411677850636,0.0,6.495850976327177e-05,0.0005185759166704687,0.0,0.0,0.0,4.3478360991365374e-05,0.00029191051864172634,0.0,6.832796445198973e-05,0.0011826248878362559,0.012792704743790089,0.0,0.0,0.00045620436161760043,0.0,0.008865659872192438,5.609650259723511e-07,0.0,0.0,0.00020387784013271525,2.1421938450754973e-05,0.00019629133716384588,0.0003956468393000588,2.9167653253941948e-05,1.4861688829377332e-05,0.0011186480959027266,0.0,0.0006863001198172282,0.0,0.017126386212939583
JAM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NIC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ECU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MEX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002117953267803759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006076070046127088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0068378731198838584,0.011755961461236768,0.0,0.0,0.0,0.06450578473669066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011906288342951334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0832968205102267,0.010006190292987478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2378636547433377e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001667385703168573,0.19990804358315142,0.0,0.0,0.0,0.0,0.0007445122121389204,0.0,0.0,0.0,0.0,0.0004570873519941862,0.0,0.0,0.0,0.0,0.0,0.0,0.004158608845456377,0.0,0.010895821130096447
