 time,x,y
 ,,
0,0,0
1.00E-01,40.15034901,57.34064417
0.2,80.18827705,114.4227345
0.3,120.1140989,171.2469951
0.4,159.9281284,227.8141476
0.5,199.6306787,284.1249122
0.6,239.2220618,340.1800066
0.7,278.702589,395.9801467
0.8,318.0725708,451.5260465
0.9,357.3323166,506.8184177
1,396.4821351,561.8579703
1.1,435.5223342,616.6454121
1.2,474.4532206,671.1814491
1.3,513.2751006,725.4667852
1.4,551.9882794,779.5021224
1.5,590.5930612,833.2881606
1.6,629.0897496,886.8255979
1.7,667.4786474,940.1151303
1.8,705.7600562,993.1574521
1.9,743.934277,1045.953255
2,782.00161,1098.50323
2.1,819.9623546,1150.808065
2.2,857.816809,1202.868447
2.3,895.5652709,1254.68506
2.4,933.2080372,1306.258585
2.5,970.7454037,1357.589706
2.6,1008.177666,1408.679099
2.7,1045.505117,1459.527441
2.8,1082.728052,1510.135408
2.9,1119.846762,1560.503673
3,1156.86154,1610.632907
3.1,1193.772677,1660.523779
3.2,1230.580463,1710.176957
3.3,1267.285186,1759.593105
3.4,1303.887137,1808.772889
3.5,1340.386602,1857.716969
3.6,1376.783868,1906.426005
3.7,1413.079223,1954.900657
3.8,1449.27295,2003.141579
3.9,1485.365334,2051.149427
4,1521.356661,2098.924852
4.1,1557.247211,2146.468507
4.2,1593.037268,2193.781039
4.3,1628.727112,2240.863096
4.4,1664.317025,2287.715324
4.5,1699.807287,2334.338365
4.6,1735.198175,2380.732862
4.7,1770.48997,2426.899454
4.8,1805.682947,2472.838779
4.9,1840.777383,2518.551475
5,1875.773556,2564.038175
5.1,1910.671739,2609.299512
5.2,1945.472207,2654.336117
5.3,1980.175234,2699.14862
5.4,2014.781092,2743.737648
5.5,2049.290054,2788.103827
5.6,2083.702391,2832.24778
5.7,2118.018373,2876.170131
5.8,2152.238271,2919.871498
5.9,2186.362353,2963.352502
6,2220.390887,3006.613759
6.1,2254.324142,3049.655885
6.2,2288.162383,3092.479492
6.3,2321.905877,3135.085194
6.4,2355.55489,3177.473599
6.5,2389.109685,3219.645317
6.6,2422.570527,3261.600954
6.7,2455.937679,3303.341116
6.8,2489.211402,3344.866405
6.9,2522.391959,3386.177423
7,2555.479611,3427.27477
7.1,2588.474617,3468.159045
7.2,2621.377237,3508.830843
